"Amethi (sulthanpur) ","05.30E","081.48E","26.09N"
"Amhat               ","05.30E","083.48E","24.57N"
"Amingaon            ","05.30E","091.45E","26.13N"
"Amithirigala (sl)   ","05.30E","080.11E","06.58N"
"Amjhera             ","05.30E","075.09E","22.30N"
"Amman (jordan)      ","02.00E","035.00E","31.57N"
"Amnaur              ","05.30E","084.56E","25.59N"
"Amod                ","05.30E","072.54E","21.59N"
"Amola               ","05.30E","077.56E","25.25N"
"Amoy                ","08.00E","118.27E","24.27N"
"Ampam-05.30         ","05.30E","082.40E","19.37N"
"Ampara (sl)         ","05.30E","081.41E","07.14N"
"Amra                ","05.30E","083.27E","25.20N"
"Amrabad             ","05.30E","078.53E","16.22N"
"Amrapara (bihar)    ","05.30E","087.34E","24.33N"
"Amrapur (m.r)       ","05.30E","070.02E","21.45N"
"Amrawad             ","05.30E","078.08E","23.00N"
"Amreli              ","05.30E","071.20E","21.36N"
"Amring              ","05.30E","092.54E","25.43N"
"Amritsar            ","05.30E","074.55E","31.37N"
"Amroha              ","05.30E","078.14E","28.54N"
"Amsterdam (holland) ","01.00E","004.54E","52.23N"
"Amta                ","05.30E","088.01E","22.35N"
"Amwa majhar         ","05.30E","084.36E","26.45N"
"Anagundi            ","05.30E","076.35E","15.27N"
"Anakapalle (ap)     ","05.30E","083.03E","17.41N"
"Anamaduwa (sl)      ","05.30E","080.01E","07.50N"
"Anand               ","05.30E","073.01E","22.34N"
"Anandapuram  (kr)   ","05.30E","075.12E","14.06N"
"Anandpur (bihar)    ","05.30E","085.15E","22.29N"
"Anandpur (h.p)      ","05.30E","076.34E","31.13N"
"Anandpur (m.r)      ","05.30E","070.53E","22.16N"
"Anandpur (orissa)   ","05.30E","086.10E","21.14N"
"Anant peth          ","05.30E","078.16E","25.57N"
"Anantapur           ","05.30E","077.39E","14.41N"
"Anchorage           ","09.00W","149.50W","61.06N"
"Ancona (italy)      ","01.00E","013.31E","43.36N"
"Andal (w.b)         ","05.30E","087.14E","25.35N"
"Andaman is.         ","05.30E","092.40E","12.00N"
"Anderson weir       ","05.30E","087.33E","23.18N"
"Andiyur             ","05.30E","077.37E","11.36N"
"Andol (a.p)         ","05.30E","078.03E","17.49N"
"Andola  (kr)        ","05.30E","076.36E","16.57N"
"Anebagasdawa (sl)   ","05.30E","080.54E","06.53N"
"Angadipuram         ","05.30E","076.15E","10.58N"
"Angara              ","05.30E","085.30E","23.24N"
"Angoda (sl)         ","05.30E","079.55E","06.51N"
"Angola              ","01.00E","015.00E","13.00S"
"Angul               ","05.30E","085.04E","20.48N"
"Ani                 ","05.30E","077.24E","31.25N"
"Animudi peak        ","05.30E","077.07E","10.14N"
"Anjangaon           ","05.30E","077.21E","21.11N"
"Anjanwel            ","05.30E","073.10E","17.36N"
"Anjar               ","05.30E","070.05E","23.06N"
"Anjengo             ","05.30E","076.47E","08.40N"
"Anjha               ","05.30E","072.29E","23.48N"
"Anji                ","05.30E","078.34E","20.52N"
"Anjidir island      ","05.30E","074.07E","14.46N"
"Anjorpur            ","05.30E","084.03E","25.43N"
"Ankaleswar          ","05.30E","073.02E","21.38N"
"Ankara (turkey)     ","03.00E","032.54E","39.57N"
"Ankola  (kr)        ","05.30E","074.15E","14.43N"
"Annigeri  (kr)      ","05.30E","075.26E","15.26N"
"Anshan              ","08.00E","122.58E","41.03N"
"Ansi                ","08.00E","096.10E","40.21N"
